datetime,Demand
01-03-2023 00:00,13485.00 
01-03-2023 00:15,13389.82 
01-03-2023 00:30,13294.63 
01-03-2023 00:45,13198.99 
01-03-2023 01:00,13102.86 
01-03-2023 01:15,13006.65 
01-03-2023 01:30,12911.30 
01-03-2023 01:45,12818.24 
01-03-2023 02:00,12729.35 
01-03-2023 02:15,12646.86 
01-03-2023 02:30,12573.28 
01-03-2023 02:45,12511.24 
01-03-2023 03:00,12463.37 
01-03-2023 03:15,12432.13 
01-03-2023 03:30,12419.73 
01-03-2023 03:45,12427.97 
01-03-2023 04:00,12458.13 
01-03-2023 04:15,12510.91 
01-03-2023 04:30,12586.32 
01-03-2023 04:45,12683.65 
01-03-2023 05:00,12801.45 
01-03-2023 05:15,12937.54 
01-03-2023 05:30,13089.01 
01-03-2023 05:45,13252.33 
01-03-2023 06:00,13423.44 
01-03-2023 06:15,13597.91 
01-03-2023 06:30,13771.15 
01-03-2023 06:45,13938.56 
01-03-2023 07:00,14095.84 
01-03-2023 07:15,14239.15 
01-03-2023 07:30,14365.38 
01-03-2023 07:45,14472.26 
01-03-2023 08:00,14558.47 
01-03-2023 08:15,14623.73 
01-03-2023 08:30,14668.73 
01-03-2023 08:45,14695.00 
01-03-2023 09:00,14704.84 
01-03-2023 09:15,14701.05 
01-03-2023 09:30,14686.73 
01-03-2023 09:45,14665.09 
01-03-2023 10:00,14639.19 
01-03-2023 10:15,14611.82 
01-03-2023 10:30,14585.33 
01-03-2023 10:45,14561.54 
01-03-2023 11:00,14541.68 
01-03-2023 11:15,14526.41 
01-03-2023 11:30,14515.83 
01-03-2023 11:45,14509.57 
01-03-2023 12:00,14506.89 
01-03-2023 12:15,14506.80 
01-03-2023 12:30,14508.20 
01-03-2023 12:45,14510.02 
01-03-2023 13:00,14511.33 
01-03-2023 13:15,14511.50 
01-03-2023 13:30,14510.23 
01-03-2023 13:45,14507.65 
01-03-2023 14:00,14504.29 
01-03-2023 14:15,14501.08 
01-03-2023 14:30,14499.31 
01-03-2023 14:45,14500.47 
01-03-2023 15:00,14506.20 
01-03-2023 15:15,14518.12 
01-03-2023 15:30,14537.69 
01-03-2023 15:45,14566.10 
01-03-2023 16:00,14604.15 
01-03-2023 16:15,14652.12 
01-03-2023 16:30,14709.73 
01-03-2023 16:45,14776.07 
01-03-2023 17:00,14849.62 
01-03-2023 17:15,14928.27 
01-03-2023 17:30,15009.38 
01-03-2023 17:45,15089.91 
01-03-2023 18:00,15166.54 
01-03-2023 18:15,15235.87 
01-03-2023 18:30,15294.60 
01-03-2023 18:45,15339.72 
01-03-2023 19:00,15368.69 
01-03-2023 19:15,15379.62 
01-03-2023 19:30,15371.37 
01-03-2023 19:45,15343.61 
01-03-2023 20:00,15296.84 
01-03-2023 20:15,15232.33 
01-03-2023 20:30,15152.02 
01-03-2023 20:45,15058.35 
01-03-2023 21:00,14954.08 
01-03-2023 21:15,14842.15 
01-03-2023 21:30,14725.39 
01-03-2023 21:45,14606.47 
01-03-2023 22:00,14487.65 
01-03-2023 22:15,14370.76 
01-03-2023 22:30,14257.07 
01-03-2023 22:45,14147.35 
01-03-2023 23:00,14041.79 
01-03-2023 23:15,13940.17 
01-03-2023 23:30,13841.88 
01-03-2023 23:45,13746.05 
02-03-2023 00:00,13651.73 
02-03-2023 00:15,13557.99 
02-03-2023 00:30,13464.06 
02-03-2023 00:45,13369.50 
02-03-2023 01:00,13274.26 
02-03-2023 01:15,13178.78 
02-03-2023 01:30,13084.00 
02-03-2023 01:45,12991.37 
02-03-2023 02:00,12902.80 
02-03-2023 02:15,12820.55 
02-03-2023 02:30,12747.17 
02-03-2023 02:45,12685.34 
02-03-2023 03:00,12637.70 
02-03-2023 03:15,12606.79 
02-03-2023 03:30,12594.84 
02-03-2023 03:45,12603.66 
02-03-2023 04:00,12634.57 
02-03-2023 04:15,12688.27 
02-03-2023 04:30,12764.77 
02-03-2023 04:45,12863.35 
02-03-2023 05:00,12982.54 
02-03-2023 05:15,13120.12 
02-03-2023 05:30,13273.12 
02-03-2023 05:45,13437.97 
02-03-2023 06:00,13610.55 
02-03-2023 06:15,13786.35 
02-03-2023 06:30,13960.70 
02-03-2023 06:45,14128.96 
02-03-2023 07:00,14286.75 
02-03-2023 07:15,14430.19 
02-03-2023 07:30,14556.12 
02-03-2023 07:45,14662.24 
02-03-2023 08:00,14747.25 
02-03-2023 08:15,14810.85 
02-03-2023 08:30,14853.74 
02-03-2023 08:45,14877.52 
02-03-2023 09:00,14884.49 
02-03-2023 09:15,14877.52 
02-03-2023 09:30,14859.75 
02-03-2023 09:45,14834.44 
02-03-2023 10:00,14804.70 
02-03-2023 10:15,14773.35 
02-03-2023 10:30,14742.77 
02-03-2023 10:45,14714.80 
02-03-2023 11:00,14690.70 
02-03-2023 11:15,14671.11 
02-03-2023 11:30,14656.16 
02-03-2023 11:45,14645.47 
02-03-2023 12:00,14638.29 
02-03-2023 12:15,14633.61 
02-03-2023 12:30,14630.35 
02-03-2023 12:45,14627.40 
02-03-2023 13:00,14623.87 
02-03-2023 13:15,14619.09 
02-03-2023 13:30,14612.78 
02-03-2023 13:45,14605.08 
02-03-2023 14:00,14596.52 
02-03-2023 14:15,14588.06 
02-03-2023 14:30,14580.98 
02-03-2023 14:45,14576.80 
02-03-2023 15:00,14577.15 
02-03-2023 15:15,14583.67 
02-03-2023 15:30,14597.83 
02-03-2023 15:45,14620.81 
02-03-2023 16:00,14653.41 
02-03-2023 16:15,14695.91 
02-03-2023 16:30,14748.01 
02-03-2023 16:45,14808.81 
02-03-2023 17:00,14876.77 
02-03-2023 17:15,14949.78 
02-03-2023 17:30,15025.18 
02-03-2023 17:45,15099.95 
02-03-2023 18:00,15170.77 
02-03-2023 18:15,15234.25 
02-03-2023 18:30,15287.11 
02-03-2023 18:45,15326.35 
02-03-2023 19:00,15349.46 
02-03-2023 19:15,15354.58 
02-03-2023 19:30,15340.59 
02-03-2023 19:45,15307.20 
02-03-2023 20:00,15254.92 
02-03-2023 20:15,15185.06 
02-03-2023 20:30,15099.56 
02-03-2023 20:45,15000.88 
02-03-2023 21:00,14891.79 
02-03-2023 21:15,14775.22 
02-03-2023 21:30,14654.01 
02-03-2023 21:45,14530.80 
02-03-2023 22:00,14407.87 
02-03-2023 22:15,14287.03 
02-03-2023 22:30,14169.54 
02-03-2023 22:45,14056.16 
02-03-2023 23:00,13947.09 
02-03-2023 23:15,13842.10 
02-03-2023 23:30,13740.58 
02-03-2023 23:45,13641.68 
03-03-2023 00:00,13544.44 
03-03-2023 00:15,13447.93 
03-03-2023 00:30,13351.41 
03-03-2023 00:45,13254.43 
03-03-2023 01:00,13156.95 
03-03-2023 01:15,13059.40 
03-03-2023 01:30,12962.71 
03-03-2023 01:45,12868.33 
03-03-2023 02:00,12778.12 
03-03-2023 02:15,12694.34 
03-03-2023 02:30,12619.51 
03-03-2023 02:45,12556.26 
03-03-2023 03:00,12507.22 
03-03-2023 03:15,12474.88 
03-03-2023 03:30,12461.44 
03-03-2023 03:45,12468.70 
03-03-2023 04:00,12497.95 
03-03-2023 04:15,12549.87 
03-03-2023 04:30,12624.48 
03-03-2023 04:45,12721.06 
03-03-2023 05:00,12838.15 
03-03-2023 05:15,12973.56 
03-03-2023 05:30,13124.37 
03-03-2023 05:45,13287.03 
03-03-2023 06:00,13457.48 
03-03-2023 06:15,13631.28 
03-03-2023 06:30,13803.80 
03-03-2023 06:45,13970.47 
03-03-2023 07:00,14126.96 
03-03-2023 07:15,14269.43 
03-03-2023 07:30,14394.77 
03-03-2023 07:45,14500.71 
03-03-2023 08:00,14585.94 
03-03-2023 08:15,14650.17 
03-03-2023 08:30,14694.10 
03-03-2023 08:45,14719.29 
03-03-2023 09:00,14728.03 
03-03-2023 09:15,14723.12 
03-03-2023 09:30,14707.70 
03-03-2023 09:45,14684.94 
03-03-2023 10:00,14657.96 
03-03-2023 10:15,14629.52 
03-03-2023 10:30,14601.99 
03-03-2023 10:45,14577.17 
03-03-2023 11:00,14556.32 
03-03-2023 11:15,14540.07 
03-03-2023 11:30,14528.55 
03-03-2023 11:45,14521.37 
03-03-2023 12:00,14517.80 
03-03-2023 12:15,14516.85 
03-03-2023 12:30,14517.40 
03-03-2023 12:45,14518.40 
03-03-2023 13:00,14518.91 
03-03-2023 13:15,14518.31 
03-03-2023 13:30,14516.29 
03-03-2023 13:45,14512.97 
03-03-2023 14:00,14508.91 
03-03-2023 14:15,14505.02 
03-03-2023 14:30,14502.59 
03-03-2023 14:45,14503.13 
03-03-2023 15:00,14508.25 
03-03-2023 15:15,14519.59 
03-03-2023 15:30,14538.60 
03-03-2023 15:45,14566.48 
03-03-2023 16:00,14604.02 
03-03-2023 16:15,14651.50 
03-03-2023 16:30,14708.64 
03-03-2023 16:45,14774.53 
03-03-2023 17:00,14847.65 
03-03-2023 17:15,14925.89 
03-03-2023 17:30,15006.60 
03-03-2023 17:45,15086.75 
03-03-2023 18:00,15163.02 
03-03-2023 18:15,15232.02 
03-03-2023 18:30,15290.43 
